marketer31,consignee11,description21,order_no211,scheduled_delivery_on21,TextBox12,TextBox18,version_no211,TextBox271,TextBox274
"","","","8512208732","07/01/2026 00:00:00","173","","1","173",""
"","ALDI Stapylton","15kg Ripes","8512185566","06/30/2026 00:00:00","395","37.000000","1","395","37.000000"
"","","","8512213885","07/01/2026 00:00:00","508","","1","508",""
"","Allied Pinnacle - Melbourne (Chilled)","Store at temperatures from 0 to below 5°C","PO2000083036-2","07/20/2026 12:00:00","1824","","1","1920",""
"","","","","","","","2","1824",""
"","","","PO2000083037-2","07/27/2026 12:00:00","1680","","1","1680",""
"","Allied Pinnacle - Sydney (Chilled)","Store at temperatures from 0 to below 5°C","PO2000082592","07/06/2026 12:00:00","595","","1","595",""
"","Allied Pinnacle - Sydney (Frozen)","Store at or below -18°C","PO2000084597","07/27/2026 12:00:00","1200","","1","1200",""
"","","","PO2000084598","08/12/2026 12:00:00","1152","","1","1152",""
"","APP Eastern Creek - Location","Ruby Rise Tray 6","Week 27 - 906","07/03/2026 10:00:00","104","","1","104",""
"","","","Week 27 - 917","07/06/2026 10:00:00","312","","1","312",""
"","Clasico Fresh","15kg Ripes","CLASICO - 02.07.26","07/02/2026 10:00:00","1","","1","1",""
"","","","CLASICO - 05.07.26","07/05/2026 10:00:00","1","","1","1",""
"","Coles Eastern Creek","Ruby Rise Tray 6","2985004","06/30/2026 00:00:00","104","22.000000","1","104","22.000000"
"","","","2985005","07/02/2026 00:00:00","104","22.000000","1","104","22.000000"
"","","","2985008","07/03/2026 00:00:00","104","22.000000","1","104","22.000000"
"","","","2985006","07/06/2026 00:00:00","104","22.000000","1","104","22.000000"
"","","Ruby Rise Tray 7","2985008","07/03/2026 00:00:00","104","25.500000","2","104","25.500000"
"","Coles Melbourne","15kg Ripes","3889534","06/30/2026 00:00:00","2640","42.690000","1","2520","42.690000"
"","","","","","","","2","2520","42.690000"
"","","","","","","","3","2520","42.690000"
"","","","","","","","4","2520","42.690000"
"","","","","","","","5","2640","42.690000"
"","","","","","","","6","2640","42.690000"
"","","","","","","","7","2640","42.690000"
"","","","3889535","07/01/2026 00:00:00","2640","42.690000","1","2640","42.690000"
"","","","","","","","2","2640","42.690000"
"","","","","","","","3","2640","42.690000"
"","","","3889536","07/02/2026 00:00:00","2880","42.690000","1","2880","42.690000"
"","","","","","","","2","2880","42.690000"
"","","","","","","","3","2880","42.690000"
"","","","","","","","4","2640","42.690000"
"","","","","","","","5","2880","42.690000"
"","","","3889537","07/03/2026 00:00:00","3600","42.690000","1","3600","42.690000"
"","","","","","","","2","3600","42.690000"
"","","","","","","","3","3600","42.690000"
"","","","3889538","07/04/2026 00:00:00","4740","42.690000","1","4740","42.690000"
"","","","","","","","2","4740","42.690000"
"","","","","","","","3","4740","42.690000"
"","","","3889539","07/05/2026 00:00:00","3300","42.690000","1","3300","42.690000"
"","","","","","","","2","3300","42.690000"
"","","","","","","","3","3300","42.690000"
"","","","3889540","07/06/2026 00:00:00","2100","42.690000","1","2100","42.690000"
"","","","","","","","2","2100","42.690000"
"","","","","","","","3","2100","42.690000"
"","","15kg Semi Ripe","3889534","06/30/2026 00:00:00","600","42.690000","1","600","42.690000"
"","","","","","","","2","600","42.690000"
"","","","","","","","3","600","42.690000"
"","","","","","","","4","600","42.690000"
"","","","","","","","5","600","42.690000"
"","","","","","","","6","600","42.690000"
"","","","","","","","7","600","42.690000"
"","","","3889535","07/01/2026 00:00:00","600","42.690000","1","600","42.690000"
"","","","","","","","2","600","42.690000"
"","","","","","","","3","600","42.690000"
"","","","3889536","07/02/2026 00:00:00","720","42.690000","1","720","42.690000"
"","","","","","","","2","720","42.690000"
"","","","","","","","3","720","42.690000"
"","","","","","","","4","720","42.690000"
"","","","","","","","5","720","42.690000"
"","","","3889537","07/03/2026 00:00:00","720","42.690000","1","720","42.690000"
"","","","","","","","2","720","42.690000"
